name,link,rating,start,end,website,telegram,telegram_count,facebook,facebook_count,twitter,twitter_count,symbol,platform,type,raised
sonder,https://icobench.com/ico/sonder/,3.2,22-May-18,30-Jun-18,https://sonder.vision/?utm_source=icobench,https://t.me/SONDER_official,12767,https://www.facebook.com/sonder.vision/,2298,https://twitter.com/sonder_vision,1935,SNR,Ethereum  ,ERC20,0
sharering,https://icobench.com/ico/sharering/,4.2,3-Jun-18,3-Jul-18,https://sharering.network?utm_source=icobench,https://t.me/ShareRing,16864,https://www.facebook.com/ShareRing.Network/,1828,https://twitter.com/shareringco,2748,SHR,Ethereum,ERC20,0
etheal,https://icobench.com/ico/etheal/,4.3,25-Jun-18,23-Jul-18,http://etheal.com/?utm_source=icobench,https://t.me/joinchat/Es92FwvIMHnoa2q_fbLV_Q,16128,https://www.facebook.com/Etheal-1067896046679549,14708,https://twitter.com/etheal_com,13954,HEAL,Ethereum,ERC20,0
casper,https://icobench.com/ico/casper/,4.7,18-Jun-18,22-Jul-18,http://www.casperproject.io/?utm_source=icobench,https://t.me/CasperProjectENG,23719,https://www.facebook.com/CasperAPI/,6677,https://twitter.com/CasperAPI,7669,CST,Ethereum,ERC20,"$1,040,000 "
iagon,https://icobench.com/ico/iagon/,4.6,7-Jul-18,7-Sep-18,https://www.iagon.com?utm_source=icobench,https://t.me/Iagon_official,26158,https://www.facebook.com/IagonOfficial/,33350,https://twitter.com/IagonOfficial,4454,IAG,Ethereum,ERC20,0
goldma,https://icobench.com/ico/goldma/,4.4,7-Jun-18,9-Jul-18,https://goldma.io/?utm_source=icobench,https://t.me/joinchat/He_y1hHwCYJ0Rr01xXJZEQ,9902,https://www.facebook.com/GoldMAZimbabwe/,1798,https://twitter.com/GoldMA_Coin,1863,GMA,Waves,Waves,0
paymon,https://icobench.com/ico/paymon/,4.4,10-May-18,13-Jun-18,https://ico.paymon.org?utm_source=icobench,https://t.me/paymoneng,9198,https://www.facebook.com/ico.paymon.org,7440,https://twitter.com/Paymon_official,9274,PMNT,Ethereum,ERC20,"$1,092,514 "
snbl,https://icobench.com/ico/snbl/,1.7,15-Mar-18,30-Jun-18,https://onlinegamecoin.com/?utm_source=icobench,https://t.me/snowballproject,14,https://www.facebook.com/snowballproject/,1,https://twitter.com/snowball_coin,84,SNBL,Ethereum,ERC20,0
vivalid,https://icobench.com/ico/vivalid/,3.7,21-May-18,17-Jul-18,https://vivalid.io?utm_source=icobench,https://t.me/vivalidservice,26195,https://www.facebook.com/vivalidservice/,315,https://twitter.com/ViValidService,14815,ViV,Ethereum,ERC20,0
swytch,https://icobench.com/ico/swytch/,3.2,12-Jun-18,12-Jul-18,https://swytch.io/?utm_source=icobench,https://t.me/Swytch,9234,https://www.facebook.com/swytch.io/,2662,https://twitter.com/Swytchio,3260,SET,Coincart,ERC20,0
elysian,https://icobench.com/ico/elysian/,4.5,18-Jun-18,8-Jul-18,https://elycoin.io/?utm_source=icobench,https://t.me/elysian_ely,54627,https://www.facebook.com/ElysianxELY,1926,https://twitter.com/Elysian_ELY,5145,ELY,Ethereum,ERC20,0
agentmile,https://icobench.com/ico/agentmile/,4.2,1-Aug-18,15-Aug-18,https://www.agentmile.com/?utm_source=icobench,https://t.me/agentmile,568,https://www.facebook.com/agentmile,462,https://twitter.com/agentmile,681,ESTATE,Ethereum,ERC20,0
amo-coin,https://icobench.com/ico/amo-coin/,4.6,18-Jun-18,7-Jul-18,https://amo.foundation/?utm_source=icobench,https://t.me/amo_official,22315,https://www.facebook.com/amoblockchain/,1064,https://twitter.com/amoblockchain,964,AMO,Ethereum,ERC20,0
arround,https://icobench.com/ico/arround/,4.8,15-Sep-18,15-Nov-18,https://arround.io/?utm_source=icobench,https://t.me/ArroundSupport,4744,https://www.facebook.com/Arround-2052833448334195/,1213,https://twitter.com/ArroundPlatform,2102,ARR,Ethereum,ERC20,0
autobay,https://icobench.com/ico/autobay/,3.9,1-Aug-18,15-Aug-18,https://www.autobay.io/?utm_source=icobench,https://t.me/autobay,12553,https://www.facebook.com/Autobay.io/,25461,https://twitter.com/Autobayio,5705,ABX,Ethereum,ERC20,0
aworker,https://icobench.com/ico/aworker/,4.4,Unknown,Unknown,https://aworker.io/?utm_source=icobench,https://t.me/aworkerio/,14753,https://www.facebook.com/aworkerio/,14155,https://twitter.com/aworkerio,11633,WORK,Ethereum,ERC20,0
bethereum,https://icobench.com/ico/bethereum/,4.1,28-Jun-18,31-Jul-18,https://www.bethereum.com/?utm_source=icobench,https://t.me/bethereum,60896,https://www.facebook.com/bethereumproject/,21008,https://twitter.com/bethereumteam,21719,BETHER,Ethereum,ERC223,0
bolttcoin,https://icobench.com/ico/bolttcoin/,4.3,1-Aug-18,1-Sep-18,https://bolttcoin.io/?utm_source=icobench,https://t.me/BolttCoin,65972,https://www.facebook.com/bolttsports/,52846,https://twitter.com/bolttsports,32993,BOLTT,Ethereum,ERC20,0
cryptics,https://icobench.com/ico/cryptics/,4.2,25-Jun-18,26-Aug-18,https://cryptics.tech/?utm_source=icobench,https://t.me/CrypticsAI,20493,https://www.facebook.com/cryptics.tech/,6570,https://twitter.com/Crypticsup,8786,QRP,Ethereum,ERC20,0
cryptopolice,https://icobench.com/ico/cryptopolice/,4.5,17-Jul-18,30-Jul-18,https://www.cryptopolice.com/?utm_source=icobench,https://t.me/cryptopolice,12114,https://www.facebook.com/CryptoPolicecom,10579,https://twitter.com/CryptoPolicecom,11913,OFCR,Ethereum,ERC20,0
crystals,https://icobench.com/ico/crystals/,4.5,25-Jun-18,25-Jul-18,https://www.crystals.io/?utm_source=icobench,https://t.me/Crystals_io,7158,https://www.facebook.com/crystals.project/,2596,https://twitter.com/Crystals_io,20592,CRS,Ethereum,ERC20,0
daox,https://icobench.com/ico/daox/,4.8,20-Jun-18,30-Jul-18,https://daox.org?utm_source=icobench,https://t.me/daoxchat,44102,https://www.facebook.com/daox.org/,6863,https://twitter.com/daoxorg,32655,DXC,Ethereum,ERC20,0
datablockchain,https://icobench.com/ico/datablockchain/,4.7,27-May-18,27-Jun-18,https://www.datablockchain.io?utm_source=icobench,https://t.me/DBCIO,36301,https://www.facebook.com/datablockchainio-210421122875853/,3889,https://twitter.com/DBC_IO,7808,DBCCoin,Ethereum,ERC20,0
dice-money,https://icobench.com/ico/dice-money/,4.7,11-May-18,22-Jul-18,https://dice.money?utm_source=icobench,http://t.me/DICEmoney,28539,https://www.facebook.com/DICEsup/,1013,https://twitter.com/DICEsup,16247,DICET,Ethereum,ERC20,0
disciplina-by-teachmeplease,https://icobench.com/ico/disciplina-by-teachmeplease/,4.2,27-Apr-18,15-Jul-18,https://teachmeplease.io?utm_source=icobench,https://t.me/tchmpls,6707,https://www.facebook.com/tchmpls.events/,6198,https://twitter.com/tchmpls_events,2769,DSCP,Ethereum,ERC20,0
emmares,https://icobench.com/ico/emmares/,3.8,5-May-18,5-Sep-18,https://www.emmares.io?utm_source=icobench,https://t.me/emmares,9336,https://www.facebook.com/emmares.io/,1130,https://twitter.com/EMMARES_IO,5768,EMA,Ethereum,ERC20,0
fluzcoin,https://icobench.com/ico/fluzcoin/,4.1,1-Jul-18,15-Sep-18,https://fluzcoin.io/?utm_source=icobench,https://t.me/Fluzcoin_Foundation,43904,https://www.facebook.com/fluzcoin/,4807,https://twitter.com/fluzcoin,6226,FFC,Ethereum,ERC20,0
ftec,https://icobench.com/ico/ftec/,4.8,20-Jun-18,18-Jul-18,https://ftec.io?utm_source=icobench,https://t.me/FTECofficial,38512,https://www.facebook.com/FTEC.Foundation,28233,https://twitter.com/ftec_found,30227,FTEC,Ethereum,ERC20,0
gigtricks,https://icobench.com/ico/gigtricks/,4.5,1-Jul-18,30-Jul-18,https://www.gigtricks.io?utm_source=icobench,https://t.me/gigtricks,12068,https://www.facebook.com/gigtricks/,12830,https://twitter.com/gigtricksglobal,2736,GBTC,Ethereum,ERC20,0
globatalent,https://icobench.com/ico/globatalent/,3.9,18-Jun-18,30-Jun-18,https://globatalent.com/?utm_source=icobench,https://t.me/globatalent,25723,https://www.facebook.com/globatalent.official/,1408,https://twitter.com/globatalent,13936,GBT,Ethereum,ERC20,0
goeureka,https://icobench.com/ico/goeureka/,4.5,15-Jun-18,15-Jul-18,https://goeureka.io/?utm_source=icobench,https://t.me/goeureka,15817,https://www.facebook.com/goeurekatravel/,11912,https://twitter.com/goeurekatravel,13642,GOT,Ethereum,ERC20,0
helioscoin,https://icobench.com/ico/helioscoin/,4.5,1-Jul-18,1-Oct-18,https://www.helioss.io?utm_source=icobench,https://t.me/helioscoin_io,2877,https://www.facebook.com/helioscoin/,775,https://www.twitter.com/@CoinHelios/,727,HLC,Ethereum,ERC20,0
heroic-com,https://icobench.com/ico/heroic-com/,4.5,1-Jun-18,31-Jul-18,https://tokensale.heroic.com/?utm_source=icobench,https://t.me/heroicdotcom,13561,https://www.facebook.com/heroiccybersecurity/,7539,https://twitter.com/heroiccyber,11296,HRO,Ethereum,ERC20,0
icasting-io,https://icobench.com/ico/icasting-io/,4,24-Sep-18,22-Oct-18,https://icasting.io?utm_source=icobench,https://t.me/joinchat/EjZIbVIUZ8bYVGFwBElL7g,344,https://www.facebook.com/iCastingNL,11489,https://twitter.com/icasting_nl,356,TLNT,Ethereum,ERC20,0
multra,https://icobench.com/ico/multra/,4.3,9-Jun-18,9-Jul-18,https://www.multra.io?utm_source=icobench,https://t.me/joinchat/HNxDzhKsfgST0feSX5moZg,1153,https://www.facebook.com/multranewsapp/,6233,https://twitter.com/multranewsapp/with_replies,0,MTT,Ethereum,ERC20,0
mydfs,https://icobench.com/ico/mydfs/,4.3,10-Jul-18,10-Aug-18,https://tokensale.mydfs.net/?utm_source=icobench,https://t.me/mydfs,18766,https://www.facebook.com/mydfs.page,58362,https://twitter.com/@mydfs_net,3375,MYDFS,Ethereum,ERC20,0
nagricoin,https://icobench.com/ico/nagricoin/,4,28-May-18,30-Jun-18,https://nagricoin.io/?utm_source=icobench,https://t.me/nagricoinchat,15656,https://www.facebook.com/nagricoin/,11666,https://twitter.com/nagriinfo,9632,NGR,Ethereum,ERC20,0
nauticus,https://icobench.com/ico/nauticus/,4.6,19-May-18,18-Jul-18,https://nauticus.io/?utm_source=icobench,https://t.me/nauticusblockchain,13011,https://www.facebook.com/NauticusBlockchain/,31024,https://twitter.com/nauticusen,14554,NTS,Ethereum,ERC20,0
nextpakk,https://icobench.com/ico/nextpakk/,4.5,29-Mar-18,30-Jul-18,https://www.nextpakk.com?utm_source=icobench,https://t.me/nextpakk,33510,https://www.facebook.com/nextpakk,22889,https://twitter.com/nextpakk,27859,Pakka,Stellar,Stellar,0
noia-network,https://icobench.com/ico/noia-network/,4.5,16-Jul-18,16-Aug-18,http://noia.network/?utm_source=icobench,https://t.me/NoiaNetwork,10707,https://www.facebook.com/NOIANetwork/,7012,https://twitter.com/NoiaNetwork,578,NOIA,Ethereum,ERC20,0
nynja,https://icobench.com/ico/nynja/,4.5,15-Apr-18,14-Aug-18,https://nynjacoin.com/?utm_source=icobench,https://t.me/joinchat/FXJyVVC5-hLs9-TwPvcOYw,22486,https://www.facebook.com/pg/NYNJAGroup/,250207,https://twitter.com/NYNJAGroup,16734,NYN,Ethereum,ERC20,0
opu-labs,https://icobench.com/ico/opu-labs/,4.1,26-Jun-18,10-Jul-18,https://ico.opu.ai/?utm_source=icobench,https://t.me/opulabs,32518,https://facebook.com/opulabs,25848,https://twitter.com/opulabs,28130,OPU,Ethereum,ERC223,0
papyrus,https://icobench.com/ico/papyrus/,4.4,21-Mar-18,31-Jul-18,https://papyrus.global/?utm_source=icobench,https://t.me/papyrusglobal,27270,https://www.facebook.com/papyrusglobal/,6932,https://twitter.com/papyrus_global,6516,PPR,Ethereum,ERC20,Unknown
paytomat,https://icobench.com/ico/paytomat/,4.2,1-Aug-18,20-Aug-18,https://tokensale.paytomat.com/?utm_source=icobench,https://t.me/paytomat,5832,https://www.facebook.com/paytomat/,9656,https://twitter.com/paytomat,2066,PTI,Waves,Waves,0
productivist,https://icobench.com/ico/productivist/,4,16-May-18,31-Jul-18,https://ico.productivist.com/?utm_source=icobench,https://t.me/productivist,10584,https://www.facebook.com/productivist,8342,https://twitter.com/ProducToken,8673,PROD,Ethereum,ERC20,0
redcab,https://icobench.com/ico/redcab/,4,22-Jun-18,15-Aug-18,https://redcab.io?utm_source=icobench,https://t.me/redcab_ICO,20656,https://facebook.com/redcabeg,3665,https://twitter.com/redcab_llc,14788,REDC,Ethereum,ERC20,0
selfie-go-ico,https://icobench.com/ico/selfie-go-ico/,5,10-Aug-18,31-Aug-18,https://ico.selfie-go.com/?utm_source=icobench,https://t.me/SelfieGO,11925,https://www.facebook.com/selfiegocom/,9541,https://twitter.com/SelfieGOApp,7939,SGO,Ethereum,ERC20,0
shipit,https://icobench.com/ico/shipit/,4.7,1-Aug-18,31-Aug-18,https://token.shipit.me/?utm_source=icobench,https://t.me/shipit_chat,78102,https://www.facebook.com/officialshipit,27657,https://twitter.com/officialshipit,27681,SHPT,Ethereum,ERC20,0
soundeon,https://icobench.com/ico/soundeon/,4.4,27-Jun-18,26-Jul-18,https://soundeon.com/?utm_source=icobench,https://t.me/soundeon,19509,https://www.facebook.com/soundeon/,117899,https://twitter.com/soundeoncom,16781,SOUNDEON,Ethereum,ERC20,0
spiking,https://icobench.com/ico/spiking/,4.7,9-May-18,31-Jul-18,https://spiking.io?utm_source=icobench,https://t.me/SpikingOfficial,42857,https://www.facebook.com/stockspiking,123205,https://twitter.com/stockspiking,43423,SPIKE,Ethereum,ERC20,0
spotcoin,https://icobench.com/ico/spotcoin/,4.7,Unknown,Unknown,https://spotcoin.com/?utm_source=icobench,https://t.me/spotcointeam,13281,https://www.facebook.com/spotcoin/,2996,https://twitter.com/therealspotcoin,2507,SPOT,NEO,NEP-5,0
streamity,https://icobench.com/ico/streamity/,4.2,25-Jun-18,22-Jul-18,https://streamity.org/?utm_source=icobench,https://t.me/streamityChat_en,10111,https://www.facebook.com/streamity,11551,https://twitter.com/streamityorg,13778,STM,Ethereum,ERC20,"$4,200,000 "
swiss-alps-mining,https://icobench.com/ico/swiss-alps-mining/,3.9,22-May-18,27-Jul-18,https://swissalpsmining.io/en/home?utm_source=icobench,https://t.me/swissalpsminingICO,31876,https://www.facebook.com/swissalpsmining/,115077,https://twitter.com/swissalpsmining,13351,SAM,Ethereum,ERC20,0
talao,https://icobench.com/ico/talao/,4.4,4-Jun-18,30-Jun-18,https://ico.talao.io/?utm_source=icobench,https://t.me/TalaoCommunity,13750,https://www.facebook.com/TalaoDAO/,11724,http://twitter.com/TalaoDAO,3330,TALAO,Ethereum,ERC20,0
tradelize,https://icobench.com/ico/tradelize/,4.5,1-May-18,14-Jul-18,https://tradelize.com/?utm_source=listing&utm_medium=icobench,https://t.me/tradelize_en,5313,https://www.facebook.com/tradelize/,1088,https://twitter.com/tradelize,1048,TDZ,Ethereum,ERC20,0
triipmiles,https://icobench.com/ico/triipmiles/,5,8-Jun-18,9-Aug-18,https://ico.triip.me?utm_source=icobench,https://t.me/triipmilesICO,3050,http://facebook.com/triip.me/,25182,https://twitter.com/triipme,5207,TIIM,Ethereum,ERC20,0
trueplay,https://icobench.com/ico/trueplay/,3.9,15-Apr-18,30-Jun-18,https://trueplay.io/?utm_source=icobench,https://t.me/trueplaysupport,18073,https://www.facebook.com/TruePlayInfo/,5368,https://twitter.com/TruePlayinfo,1293,TPLAY,Ethereum,ERC20,0
unboxed,https://icobench.com/ico/unboxed/,4.8,15-Jun-18,31-Jul-18,https://www.unboxed.network?utm_source=icobench,https://t.me/unboxedicocommunity,43561,https://www.facebook.com/unboxed.network/,33928,https://twitter.com/unboxed_network,33712,NBOX,Ethereum,ERC20,0
