rank,name,link,symbol,feixiaohao,volume-usd,website,chat,date,exchangeNumber
1,Bitcoin,https://coinmarketcap.com/currencies/bitcoin/,BTC,https://www.feixiaohao.com/currencies/bitcoin/,5634430000.0,https://bitcoin.org/,,2008-11-01,174
2,Ethereum,https://coinmarketcap.com/currencies/ethereum/,ETH,https://www.feixiaohao.com/currencies/ethereum/,2244500000.0,https://www.ethereum.org/,https://gitter.im/orgs/ethereum/rooms,2014-07-24,141
3,Ripple,https://coinmarketcap.com/currencies/ripple/,XRP,https://www.feixiaohao.com/currencies/ripple/,313400000.0,https://ripple.com/,"https://t.me/Ripple , https://discord.gg/N4x7kPb",2011-04-18,54
4,Bitcoin Cash,https://coinmarketcap.com/currencies/bitcoin-cash/,BCH,https://www.feixiaohao.com/currencies/bitcoin-cash/,725562000.0,https://www.bitcoincash.org/,,2017-07-24,105
5,EOS,https://coinmarketcap.com/currencies/eos/,EOS,https://www.feixiaohao.com/currencies/eos/,1528830000.0,https://eos.io/,https://t.me/joinchat/AAAAAEQbOeucnaMWN0A9dQ,2017-07-02,76
6,Litecoin,https://coinmarketcap.com/currencies/litecoin/,LTC,https://www.feixiaohao.com/currencies/litecoin/,309464000.0,"https://litecoin.com , https://litecoin.org/",https://telegram.me/litecoin,2011-11-09,125
7,Cardano,https://coinmarketcap.com/currencies/cardano/,ADA,https://www.feixiaohao.com/currencies/cardano/,79383100.0,https://www.cardano.org,https://t.me/CardanoAnnouncements,2017-10-02,12
8,Stellar,https://coinmarketcap.com/currencies/stellar/,XLM,https://www.feixiaohao.com/currencies/stellar/,26736200.0,https://www.stellar.org,http://slack.stellar.org/,2014-08-01,23
9,IOTA,https://coinmarketcap.com/currencies/iota/,MIOTA,https://www.feixiaohao.com/currencies/iota/,66072500.0,https://www.iota.org/,https://discord.gg/7Gu2mG5,2017-07-23,8
10,TRON,https://coinmarketcap.com/currencies/tron/,TRX,https://www.feixiaohao.com/currencies/tron/,302833000.0,https://tron.network/,https://tronfoundation.slack.com,2017-09-14,46
11,NEO,https://coinmarketcap.com/currencies/neo/,NEO,https://www.feixiaohao.com/currencies/neo/,88291400.0,https://neo.org/,,2014-06-01,32
12,Dash,https://coinmarketcap.com/currencies/dash/,DASH,https://www.feixiaohao.com/currencies/dash/,195716000.0,https://www.dash.org/,https://discord.gg/9z8zX5j,2014-01-18,61
13,Monero,https://coinmarketcap.com/currencies/monero/,XMR,https://www.feixiaohao.com/currencies/monero/,41017200.0,http://www.monero.cc,https://telegram.me/bitmonero,2014-04-18,28
14,NEM,https://coinmarketcap.com/currencies/nem/,XEM,https://www.feixiaohao.com/currencies/nem/,11419600.0,http://nem.io,https://t.me/nemred,2015-04-01,25
15,Tether,https://coinmarketcap.com/currencies/tether/,USDT,https://www.feixiaohao.com/currencies/tether/,2793680000.0,https://tether.to,,2014-11-26,47
16,VeChain,https://coinmarketcap.com/currencies/vechain/,VEN,https://www.feixiaohao.com/currencies/vechain/,88319600.0,"https://www.vechain.org/ , https://www.vechain.com/","https://t.me/vechain_official_english , https://t.me/joinchat/GG4BlQwm19czcBGOewv40Q",2017-08-23,25
17,Ethereum Classic,https://coinmarketcap.com/currencies/ethereum-classic/,ETC,https://www.feixiaohao.com/currencies/ethereum-classic/,156771000.0,https://ethereumclassic.github.io/,https://discord.gg/HW4GckH,2015-11-01,53
18,Bytecoin,https://coinmarketcap.com/currencies/bytecoin-bcn/,BCN,https://www.feixiaohao.com/currencies/bytecoin-bcn/,28983500.0,https://bytecoin.org/,https://telegram.me/bytecoinchat,2012-07-04,5
19,ICON,https://coinmarketcap.com/currencies/icon/,ICX,https://www.feixiaohao.com/currencies/icon/,32669400.0,https://www.icon.foundation/,https://t.me/joinchat/Fqw4igkkVmYtj--ZVi-QcA,2017-10-28,17
20,Binance Coin,https://coinmarketcap.com/currencies/binance-coin/,BNB,https://www.feixiaohao.com/currencies/binance-coin/,43873600.0,https://www.binance.com/,,2017-07-26,5
21,Qtum,https://coinmarketcap.com/currencies/qtum/,QTUM,https://www.feixiaohao.com/currencies/qtum/,204420000.0,https://qtum.org/,https://t.me/joinchat/D5oBaw29NeOdpw6qqqf2lw,2017-03-16,43
22,OmiseGO,https://coinmarketcap.com/currencies/omisego/,OMG,https://www.feixiaohao.com/currencies/omisego/,33947100.0,https://omg.omise.co/,"https://telegram.me/omisego , https://omg.omise.co/slack",2017-06-27,55
23,Zcash,https://coinmarketcap.com/currencies/zcash/,ZEC,https://www.feixiaohao.com/currencies/zcash/,138105000.0,https://z.cash/,,2016-10-28,42
24,Lisk,https://coinmarketcap.com/currencies/lisk/,LSK,https://www.feixiaohao.com/currencies/lisk/,26073200.0,https://lisk.io/,,2016-05-04,18
25,Zilliqa,https://coinmarketcap.com/currencies/zilliqa/,ZIL,https://www.feixiaohao.com/currencies/zilliqa/,71818400.0,https://www.zilliqa.com/,https://t.me/zilliqachat,2018-01-26,14
26,Bitcoin Gold,https://coinmarketcap.com/currencies/bitcoin-gold/,BTG,https://www.feixiaohao.com/currencies/bitcoin-gold/,21958600.0,https://bitcoingold.org/,"https://t.me/BitcoinGoldHQ , https://discord.gg/HmVUU6S",2017-10-24,18
27,Aeternity,https://coinmarketcap.com/currencies/aeternity/,AE,https://www.feixiaohao.com/currencies/aeternity/,23230100.0,https://www.aeternity.com/,https://telegram.me/aeternity,,23
28,Verge,https://coinmarketcap.com/currencies/verge/,XVG,https://www.feixiaohao.com/currencies/verge/,18354400.0,http://vergecurrency.com/,"https://t.me/VERGExvg , https://discord.gg/vergecurrency",2014-10-09,14
29,Ontology,https://coinmarketcap.com/currencies/ontology/,ONT,https://www.feixiaohao.com/currencies/ontology/,53257600.0,https://ont.io/,"https://t.me/OntologyNetwork , https://t.me/OntologyNetworkCN",2018-03-09,0
30,Nano,https://coinmarketcap.com/currencies/nano/,NANO,https://www.feixiaohao.com/currencies/nano/,4964230.0,"http://nano.org/en , https://raiblocks.net/",,,2
31,Steem,https://coinmarketcap.com/currencies/steem/,STEEM,https://www.feixiaohao.com/currencies/steem/,5009590.0,"https://steem.io/ , https://steemit.com/",,2016-03-24,7
32,0x,https://coinmarketcap.com/currencies/0x/,ZRX,https://www.feixiaohao.com/currencies/0x/,16232400.0,https://0xproject.com/,,2017-08-17,29
33,Decred,https://coinmarketcap.com/currencies/decred/,DCR,https://www.feixiaohao.com/currencies/decred/,9389980.0,"https://www.decred.org/ , https://docs.decred.org/","https://slack.decred.org/ , https://discord.gg/GJ2GXfz",,8
